Ticker,ShortName,Sector,Region,Country,AverageRating
SVSKHB,Svenska Handelsbanken AB,Financials,Europe,Sweden,Upper Medium Grade
SWED,Kdom Sweden,Government,Europe,Sweden,Lower Medium Grade
SWEDBK,Swedbank AB,Financials,Europe,Sweden,Upper Medium Grade
SWEMAT,Swedish Match AB,Consumer Goods,Europe,Sweden,Extremely Speculative
SWISS,Swiss Confederation,Government,Europe,Switzerland,Lower Medium Grade
SWLHLD,Swiss Life Hldg Ltd,Financials,Europe,Switzerland,Lower Medium Grade
SWREL,Swiss Reins Co Ltd,Financials,Europe,Switzerland,Lower Medium Grade
SWSL,Swiss Life Ltd,Financials,Europe,Switzerland,Lower Medium Grade
SXLTD,SIX CONTINENTS LTD,Consumer Services,Europe,United Kingdom,Lower Medium Grade
SYNNVX,Syngenta AG,Basic Materials,Europe,Switzerland,Upper Medium Grade
TATAGP-CORUSLTD,CORUS GROUP Ltd,Basic Materials,Europe,United Kingdom,Extremely Speculative
TATELN,Tate & Lyle PLC,Consumer Goods,Europe,United Kingdom,Highly Speculative
TELDAN,TDC A/S,Telecommunications,Europe,Denmark,Extremely Speculative
TELEFO,Telefonica S A,Telecommunications,Europe,Spain,Extremely Speculative
TELNOR,Telenor ASA,Telecommunications,Europe,Norway,Upper Medium Grade
TFIFP,Societe Television Francaise 1,Consumer Services,Europe,France,Lower Medium Grade
TIIMN,Telecom Italia SpA,Telecommunications,Europe,Italy,Non-Investment Grade
TKA,Telekom Austria AG,Telecommunications,Europe,Austria,Highly Speculative
TKAGR,ThyssenKrupp AG,Industrials,Europe,Germany,Highly Speculative
TMSNRP-TRGL,THOMSON REUTERS GROUP Ltd,Consumer Services,Europe,United Kingdom,Lower Medium Grade
TNET,Telenet Group Hldg Nv,Consumer Services,Europe,Belgium,Non-Investment Grade
TOTALN,Total SA,Oil & Gas,Europe,France,Lower Medium Grade
TSCO,Tesco PLC,Consumer Services,Europe,United Kingdom,Extremely Speculative
TWPLC,TAYLOR WIMPEY PLC,Consumer Goods,Europe,United Kingdom,Lower Medium Grade
TYECOG,Tyco Electrs Group SA,Industrials,Europe,Luxembourg,Lower Medium Grade
UBS,UBS AG,Financials,Europe,Switzerland,Upper Medium Grade
UKIN,Utd Kdom Gt Britn & Nthn Irlnd,Government,Europe,United Kingdom,Lower Medium Grade
ULVR,Unilever N V,Consumer Goods,Europe,Netherlands,Extremely Speculative
UPMKYM,UPM Kymmene CORP,Basic Materials,Europe,Finland,Lower Medium Grade
USPA,UniCredit SpA,Financials,Europe,Italy,Lower Medium Grade
UU,Utd Utils plc,Utilities,Europe,United Kingdom,High Grade
VEOLIA,Veolia Environnement,Utilities,Europe,France,Upper Medium Grade
VINCI,Vinci,Industrials,Europe,France,Lower Medium Grade
VIRFIN,VIRGIN MEDIA Fin PLC,Telecommunications,Europe,United Kingdom,Non-Investment Grade
VIVNDI,Vivendi,Telecommunications,Europe,France,Lower Medium Grade
VLOF,Valeo,Consumer Goods,Europe,France,Lower Medium Grade
VLVY,AB Volvo,Industrials,Europe,Sweden,Upper Medium Grade
VLVY-Treasury,Volvo Treas AB,Industrials,Europe,Sweden,Upper Medium Grade
VOD,Vodafone Gp PLC,Telecommunications,Europe,United Kingdom,Lower Medium Grade
VW,Volkswagen AG,Consumer Goods,Europe,Germany,Upper Medium Grade
WEINBG,Wienerberger Ag,Industrials,Europe,Austria,Lower Medium Grade
WENL,WENDEL,Financials,Europe,France,Lower Medium Grade
WINDAQ,Wind Acquisition Fin SA,Financials,Europe,Luxembourg,Extremely Speculative
WOLKLU,Wolters Kluwer N V,Consumer Services,Europe,Netherlands,Lower Medium Grade
WPPGRP-2005,WPP 2005 Ltd,Consumer Services,Europe,United Kingdom,Extremely Speculative
YORPOW,Yorkshire Pwr Gp Ltd,Utilities,Europe,United Kingdom,Lower Medium Grade
ZINCO,Zurich Ins Co Ltd,Financials,Europe,Switzerland,High Grade
