Ticker,Intersection Variance,Intersection Community Variance,CSRA Variance,CSRA Community Variance
SCMNVX,1.8753851519833973,0.10490942972161166,0.043225459242147615,0.07082280660106394
SCORS,0.04887574650065882,0.0846323226363516,0.06027193321234642,0.06916214934363217
SCOTPO-Ukplc,0.016186837676670788,0.019003247746258722,0.014523458025737917,0.009665865674536506
SEB,0.007359761747015056,0.007359761747015056,0.07947933161498895,0.08884497762565453
SECURI,0.07540534829766428,0.07540534829766428,0.02999117548721171,0.03216371419625923
SESG,0.08403032810067297,0.08403032810067297,0.31150194893303285,0.3115010232116628
SGCLN,0.11378578134190442,0.13960852297754853,0.033075408976376654,0.02912223632350607
SGRO,0.012801500093442521,0.012801500093442521,0.02910075972327718,0.03157738745059869
SIEM,0.3552510815320636,0.3552510815320636,0.12755257078940563,0.15254148092153333
SKF,0.055922333537034595,0.055922333537034595,0.03969079119453867,0.029000457285969793
SLTRW-Kelda,0.09965142850030512,0.5425643244265369,0.013922302526539929,0.011724045980269868
SMIN,0.037473543036724545,0.03581007219655974,0.023645205912596237,0.027357412165966325
SOCGEN,0.04851538132158267,0.02045077443128678,0.049137217806332956,0.01306791458324933
SOLL,0.011495383740068636,0.011495383740068636,0.01457712011831923,0.014364631930788036
SOLVAY,1.302775848241199,0.028957340354127704,0.13532090303024397,0.0192690932403262
STAN,0.05999360784742513,0.08271159266294818,0.06193454872936642,0.07188887960665194
STAN-Bank,0.15046554571495208,0.1012250888344308,0.18089508561518663,0.0988164920465028
STB,0.048937025257692335,0.048937025257692335,0.03923870405570077,0.11907974966254373
STGOBN,0.02634732290432537,0.013404069084555038,0.018002808328245825,0.015532096354002366
STLIFE-LifeAss,0.0862770397039427,0.0862770397039427,0.10024988523748414,0.10902530576197957
STM,0.10095442462548004,0.10095442462548004,0.07727727507406523,0.038873475768988044
STORA,0.036514916715292195,0.029691232462760685,0.042292379121904,0.009080374992896587
SVSKHB,0.047254541438614864,0.047254541438614864,0.08643499055295181,0.09967522778990483
SWEDBK,0.01012378125450061,0.01012378125450061,0.07684093834401283,0.0817494323127876
SWEMAT,0.028729275952530334,0.034772969586615465,0.02190807813661315,0.017758617266965274
SWLHLD,0.02064679283815983,0.022833103977226737,0.014325048009613721,0.007965877796913191
SWREL,1.580011486370628,0.43512520643069563,0.09030884651072243,0.06105411153733856
SWSL,0.026365488928471004,0.15737066988736712,0.014012482143906942,0.006961329419061534
SXLTD,0.23849135696703597,0.28037865810379353,0.07409056740352526,0.060303828678661714
SYNNVX,0.20827912217347838,0.7716349455752444,0.2610431378882456,0.4020159216072586
TATAGP-CORUSLTD,0.004978535881481395,0.005466390956135289,0.00221656748903646,0.0023231698195980916
TATELN,0.2845504114405785,0.23726823736975755,0.10729410160544964,0.0845775897816288
TELDAN,0.15143157321469355,0.15143157321469355,0.24345020292858793,0.32050216943874993
TELEFO,0.017129766556471228,0.017129766556471228,0.03962995742466065,0.09175575640754956
TELNOR,0.2172894328888637,0.2172894328888637,10.5302738097043,0.1705622202712564
TFIFP,0.16998813084187514,0.37869006871012095,0.18985063144717576,0.19081406375109788
TIIMN,0.02630821168671606,0.004602336601966115,0.007289017855778835,0.024949938012031197
TKA,19.434826967674965,0.30140257761342637,5.137588110484862,0.2423608081816581
TKAGR,0.012892296453928342,0.022299509341412248,0.008783174199752029,0.008054392727521946
TMSNRP-TRGL,0.7333018183328172,0.8919937093387874,0.24412483238325636,0.24513680832673626
TNET,0.019144376409155516,0.01603080120244152,0.006645906780473245,0.006212954606908358
TOTALN,0.32026798437874043,0.25236876870247893,0.3552936389296044,0.33723943646463567
TSCO,0.23886139796764733,0.18810471249943855,0.10110697658144359,0.08469236318816548
TWPLC,0.0009504250830992483,0.0011819891875622577,0.0012042601018943451,0.0012832221344434207
TYECOG,0.18058874075748993,0.18058874075748993,0.4376785329160171,0.4376808814742859
UBS,0.06145528978297282,0.06145528978297282,0.1636224156776193,0.08379358780313134
ULVR,0.7013856065756355,0.7013856065756355,0.285464408612,0.2156883763102008
UPMKYM,0.3026427660250357,0.09581816982055745,0.29830519560720803,0.1787844943240064
USPA,0.04083029143382212,0.008502810827525886,0.017160366883436032,0.00570060300110762
UU,0.013676866307144857,0.012853264473207874,0.038405575764801206,0.03705085698056095
VEOLIA,0.13444136371999252,0.05280727908071935,0.05345341387150273,0.04368476050027623
VINCI,0.07125254982937913,0.04360768778641881,0.06276863975038294,0.048628032074794166
VIRFIN,0.01466409686319144,0.018223664598755077,0.009255348970450907,0.014264445969181912
VIVNDI,0.0505809286200777,0.038475238041666845,0.051077124127288924,0.04208288195552757
VLOF,0.12228046868966158,0.1728390282258387,0.05530771322520282,0.04284002032038065
VLVY,0.03715367357705928,0.02549512235083627,0.04637657680709214,0.03608050531835119
VLVY-Treasury,0.007610785012677266,0.038783221347960625,0.023743133735525165,0.03383240551048938
VOD,0.09816848929746307,0.04680649535029555,0.03233858835791725,0.026081439850853136
VW,0.13138232455399676,0.10072856360230044,0.07363471908973525,0.1016280341513878
WEINBG,0.014844745696373679,0.04586416382326958,0.00950841844441824,0.00781741944650769
WENL,0.03154037232892252,0.029912532390517197,0.011919959668339225,0.023951522536114312
WOLKLU,0.2614725874962541,0.2047318331411152,0.17811628477297511,0.08947567247600716
WPPGRP-2005,0.32077870771808886,0.16520429676695733,0.10885521703906555,0.08555390983281042
YORPOW,0.09650896726756426,0.11991687822865088,0.09482697704338186,0.08502636570336718
ZINCO,0.07089033345304335,0.07089033345304335,0.09727429765229269,0.05257735102556583
