Ticker,ShortName,Sector,Region,Country,AverageRating
SCOTPO-Ukplc,Scottish Pwr UK PLC,Non Cyclical,Europe,United Kingdom,10
SEB,Skandinaviska Enskilda Banken AB,Financials,Europe,Sweden,5
SECURI,Securitas AB,Cyclical,Europe,Sweden,9
SESG,SES,Cyclical,Europe,Luxembourg,10
SGCLN,Stagecoach Gp Plc,Cyclical,Europe,United Kingdom,10
SGRO,SEGRO PLC,Financials,Europe,United Kingdom,10
SIEM,Siemens AG,Cyclical,Europe,Germany,17
SKF,AB SKF,Cyclical,Europe,Sweden,10
SLTRW-Kelda,KELDA GROUP Ltd,Non Cyclical,Europe,United Kingdom,17
SMIN,Smiths Gp Plc,Cyclical,Europe,United Kingdom,10
SOCGEN,Societe Generale,Financials,Europe,France,6
SOLL,Soc Of Lloyd S,Financials,Europe,United Kingdom,10
SOLVAY,Solvay SA,Cyclical,Europe,Belgium,9
STAN,STANDARD CHARTERED PLC,Financials,Europe,United Kingdom,6
STAN-Bank,Std Chartered Bk,Financials,Europe,United Kingdom,5
STB,Storebrand ASA,Financials,Europe,Norway,10
STGOBN,Cie de St Gobain,Cyclical,Europe,France,10
STLIFE-LifeAss,STANDARD LIFE Assurn Ltd,Financials,Europe,United Kingdom,10
STM,Stmicroelectronics N V,Cyclical,Europe,Netherlands,1
STORA,Stora Enso CORP,Cyclical,Europe,Finland,10
SVSKHB,Svenska Handelsbanken AB,Financials,Europe,Sweden,5
SWEDBK,Swedbank AB,Financials,Europe,Sweden,5
SWEMAT,Swedish Match AB,Non Cyclical,Europe,Sweden,17
SWLHLD,Swiss Life Hldg Ltd,Financials,Europe,Switzerland,10
SWREL,Swiss Reins Co Ltd,Financials,Europe,Switzerland,10
SWSL,Swiss Life Ltd,Financials,Europe,Switzerland,10
SXLTD,SIX CONTINENTS LTD,Cyclical,Europe,United Kingdom,10
SYNNVX,Syngenta AG,Cyclical,Europe,Switzerland,7
TATAGP-CORUSLTD,CORUS GROUP Ltd,Cyclical,Europe,United Kingdom,17
TATELN,Tate & Lyle PLC,Non Cyclical,Europe,United Kingdom,14
TELDAN,TDC A/S,Cyclical,Europe,Denmark,17
TELEFO,Telefonica S A,Cyclical,Europe,Spain,17
TELNOR,Telenor ASA,Cyclical,Europe,Norway,7
TFIFP,Societe Television Francaise 1,Cyclical,Europe,France,9
TIIMN,Telecom Italia SpA,Cyclical,Europe,Italy,12
TKA,Telekom Austria AG,Cyclical,Europe,Austria,14
TKAGR,ThyssenKrupp AG,Cyclical,Europe,Germany,14
TMSNRP-TRGL,THOMSON REUTERS GROUP Ltd,Cyclical,Europe,United Kingdom,10
TNET,Telenet Group Hldg Nv,Cyclical,Europe,Belgium,13
TOTALN,Total SA,Cyclical,Europe,France,10
TSCO,Tesco PLC,Cyclical,Europe,United Kingdom,17
TWPLC,TAYLOR WIMPEY PLC,Non Cyclical,Europe,United Kingdom,10
TYECOG,Tyco Electrs Group SA,Cyclical,Europe,Luxembourg,10
UBS,UBS AG,Financials,Europe,Switzerland,5
ULVR,Unilever N V,Non Cyclical,Europe,Netherlands,17
UPMKYM,UPM Kymmene CORP,Cyclical,Europe,Finland,10
USPA,UniCredit SpA,Financials,Europe,Italy,10
UU,Utd Utils plc,Non Cyclical,Europe,United Kingdom,1
VEOLIA,Veolia Environnement,Non Cyclical,Europe,France,7
VINCI,Vinci,Cyclical,Europe,France,10
